cityCode;cityName;cityNameNoAccents
1100015;Alta Floresta D'Oeste;Alta Floresta D'Oeste
1100379;Alto Alegre dos Parecis;Alto Alegre dos Parecis
1100403;Alto Paraíso;Alto Paraiso
1100346;Alvorada D'Oeste;Alvorada D'Oeste
1100023;Ariquemes;Ariquemes
1100452;Buritis;Buritis
1100031;Cabixi;Cabixi
1100601;Cacaulândia;Cacaulandia
1100049;Cacoal;Cacoal
1100700;Campo Novo de Rondônia;Campo Novo de Rondonia
1100809;Candeias do Jamari;Candeias do Jamari
1100908;Castanheiras;Castanheiras
1100056;Cerejeiras;Cerejeiras
1100924;Chupinguaia;Chupinguaia
1100064;Colorado do Oeste;Colorado do Oeste
1100072;Corumbiara;Corumbiara
1100080;Costa Marques;Costa Marques
1100940;Cujubim;Cujubim
1100098;Espigão D'Oeste;Espigao D'Oeste
1101005;Governador Jorge Teixeira;Governador Jorge Teixeira
1100106;Guajará-Mirim;Guajara-Mirim
1101104;Itapuã do Oeste;Itapua do Oeste
1100114;Jaru;Jaru
1100122;Ji-Paraná;Ji-Parana
1100130;Machadinho D'Oeste;Machadinho D'Oeste
1101203;Ministro Andreazza;Ministro Andreazza
1101302;Mirante da Serra;Mirante da Serra
1101401;Monte Negro;Monte Negro
1100148;Nova Brasilândia D'Oeste;Nova Brasilandia D'Oeste
1100338;Nova Mamoré;Nova Mamore
1101435;Nova União;Nova Uniao
1100502;Novo Horizonte do Oeste;Novo Horizonte do Oeste
1100155;Ouro Preto do Oeste;Ouro Preto do Oeste
1101450;Parecis;Parecis
1100189;Pimenta Bueno;Pimenta Bueno
1101468;Pimenteiras do Oeste;Pimenteiras do Oeste
1100205;Porto Velho;Porto Velho
1100254;Presidente Médici;Presidente Medici
1101476;Primavera de Rondônia;Primavera de Rondonia
1100262;Rio Crespo;Rio Crespo
1100288;Rolim de Moura;Rolim de Moura
1100296;Santa Luzia D'Oeste;Santa Luzia D'Oeste
1101484;São Felipe D'Oeste;Sao Felipe D'Oeste
1101492;São Francisco do Guaporé;Sao Francisco do Guapore
1100320;São Miguel do Guaporé;Sao Miguel do Guapore
1101500;Seringueiras;Seringueiras
1101559;Teixeirópolis;Teixeiropolis
1101609;Theobroma;Theobroma
1101708;Urupá;Urupa
1101757;Vale do Anari;Vale do Anari
1101807;Vale do Paraíso;Vale do Paraiso
1100304;Vilhena;Vilhena
1200013;Acrelândia;Acrelandia
1200054;Assis Brasil;Assis Brasil
1200104;Brasiléia;Brasileia
1200138;Bujari;Bujari
1200179;Capixaba;Capixaba
1200203;Cruzeiro do Sul;Cruzeiro do Sul
1200252;Epitaciolândia;Epitaciolandia
1200302;Feijó;Feijo
1200328;Jordão;Jordao
1200336;Mâncio Lima;Mancio Lima
1200344;Manoel Urbano;Manoel Urbano
1200351;Marechal Thaumaturgo;Marechal Thaumaturgo
1200385;Plácido de Castro;Placido de Castro
1200807;Porto Acre;Porto Acre
1200393;Porto Walter;Porto Walter
1200401;Rio Branco;Rio Branco
1200427;Rodrigues Alves;Rodrigues Alves
1200435;Santa Rosa do Purus;Santa Rosa do Purus
1200500;Sena Madureira;Sena Madureira
1200450;Senador Guiomard;Senador Guiomard
1200609;Tarauacá;Tarauaca
1200708;Xapuri;Xapuri
1300029;Alvarães;Alvaraes
1300060;Amaturá;Amatura
1300086;Anamã;Anama
1300102;Anori;Anori
1300144;Apuí;Apui
1300201;Atalaia do Norte;Atalaia do Norte
1300300;Autazes;Autazes
1300409;Barcelos;Barcelos
1300508;Barreirinha;Barreirinha
1300607;Benjamin Constant;Benjamin Constant
1300631;Beruri;Beruri
1300680;Boa Vista do Ramos;Boa Vista do Ramos
1300706;Boca do Acre;Boca do Acre
1300805;Borba;Borba
1300839;Caapiranga;Caapiranga
1300904;Canutama;Canutama
1301001;Carauari;Carauari
1301100;Careiro;Careiro
1301159;Careiro da Várzea;Careiro da Varzea
1301209;Coari;Coari
1301308;Codajás;Codajas
1301407;Eirunepé;Eirunepe
1301506;Envira;Envira
1301605;Fonte Boa;Fonte Boa
1301654;Guajará;Guajara
1301704;Humaitá;Humaita
1301803;Ipixuna;Ipixuna
1301852;Iranduba;Iranduba
1301902;Itacoatiara;Itacoatiara
1301951;Itamarati;Itamarati
1302009;Itapiranga;Itapiranga
1302108;Japurá;Japura
1302207;Juruá;Jurua
1302306;Jutaí;Jutai
1302405;Lábrea;Labrea
1302504;Manacapuru;Manacapuru
1302553;Manaquiri;Manaquiri
1302603;Manaus;Manaus
1302702;Manicoré;Manicore
1302801;Maraã;Maraa
1302900;Maués;Maues
1303007;Nhamundá;Nhamunda
1303106;Nova Olinda do Norte;Nova Olinda do Norte
1303205;Novo Airão;Novo Airao
1303304;Novo Aripuanã;Novo Aripuana
1303403;Parintins;Parintins
1303502;Pauini;Pauini
1303536;Presidente Figueiredo;Presidente Figueiredo
1303569;Rio Preto da Eva;Rio Preto da Eva
1303601;Santa Isabel do Rio Negro;Santa Isabel do Rio Negro
1303700;Santo Antônio do Içá;Santo Antonio do Ica
1303809;São Gabriel da Cachoeira;Sao Gabriel da Cachoeira
1303908;São Paulo de Olivença;Sao Paulo de Olivenca
1303957;São Sebastião do Uatumã;Sao Sebastiao do Uatuma
1304005;Silves;Silves
1304062;Tabatinga;Tabatinga
1304104;Tapauá;Tapaua
1304203;Tefé;Tefe
1304237;Tonantins;Tonantins
1304260;Uarini;Uarini
1304302;Urucará;Urucara
1304401;Urucurituba;Urucurituba
1400050;Alto Alegre;Alto Alegre
1400027;Amajari;Amajari
1400100;Boa Vista;Boa Vista
1400159;Bonfim;Bonfim
1400175;Cantá;Canta
1400209;Caracaraí;Caracarai
1400233;Caroebe;Caroebe
1400282;Iracema;Iracema
1400308;Mucajaí;Mucajai
1400407;Normandia;Normandia
1400456;Pacaraima;Pacaraima
1400472;Rorainópolis;Rorainopolis
1400506;São João da Baliza;Sao Joao da Baliza
1400605;São Luiz;Sao Luiz
1400704;Uiramutã;Uiramuta
1500107;Abaetetuba;Abaetetuba
1500131;Abel Figueiredo;Abel Figueiredo
1500206;Acará;Acara
1500305;Afuá;Afua
1500347;Água Azul do Norte;Agua Azul do Norte
1500404;Alenquer;Alenquer
1500503;Almeirim;Almeirim
1500602;Altamira;Altamira
1500701;Anajás;Anajas
1500800;Ananindeua;Ananindeua
1500859;Anapu;Anapu
1500909;Augusto Corrêa;Augusto Correa
1500958;Aurora do Pará;Aurora do Para
1501006;Aveiro;Aveiro
1501105;Bagre;Bagre
1501204;Baião;Baiao
1501253;Bannach;Bannach
1501303;Barcarena;Barcarena
1501402;Belém;Belem
1501451;Belterra;Belterra
1501501;Benevides;Benevides
1501576;Bom Jesus do Tocantins;Bom Jesus do Tocantins
1501600;Bonito;Bonito
1501709;Bragança;Braganca
1501725;Brasil Novo;Brasil Novo
1501758;Brejo Grande do Araguaia;Brejo Grande do Araguaia
1501782;Breu Branco;Breu Branco
1501808;Breves;Breves
1501907;Bujaru;Bujaru
1502004;Cachoeira do Arari;Cachoeira do Arari
1501956;Cachoeira do Piriá;Cachoeira do Piria
1502103;Cametá;Cameta
1502152;Canaã dos Carajás;Canaa dos Carajas
1502202;Capanema;Capanema
1502301;Capitão Poço;Capitao Poco
1502400;Castanhal;Castanhal
1502509;Chaves;Chaves
1502608;Colares;Colares
1502707;Conceição do Araguaia;Conceicao do Araguaia
1502756;Concórdia do Pará;Concordia do Para
1502764;Cumaru do Norte;Cumaru do Norte
1502772;Curionópolis;Curionopolis
1502806;Curralinho;Curralinho
1502855;Curuá;Curua
1502905;Curuçá;Curuca
1502939;Dom Eliseu;Dom Eliseu
1502954;Eldorado do Carajás;Eldorado do Carajas
1503002;Faro;Faro
1503044;Floresta do Araguaia;Floresta do Araguaia
1503077;Garrafão do Norte;Garrafao do Norte
1503093;Goianésia do Pará;Goianesia do Para
1503101;Gurupá;Gurupa
1503200;Igarapé-Açu;Igarape-Acu
1503309;Igarapé-Miri;Igarape-Miri
1503408;Inhangapi;Inhangapi
1503457;Ipixuna do Pará;Ipixuna do Para
1503507;Irituia;Irituia
1503606;Itaituba;Itaituba
1503705;Itupiranga;Itupiranga
1503754;Jacareacanga;Jacareacanga
1503804;Jacundá;Jacunda
1503903;Juruti;Juruti
1504000;Limoeiro do Ajuru;Limoeiro do Ajuru
1504059;Mãe do Rio;Mae do Rio
1504109;Magalhães Barata;Magalhaes Barata
1504208;Marabá;Maraba
1504307;Maracanã;Maracana
1504406;Marapanim;Marapanim
1504422;Marituba;Marituba
1504455;Medicilândia;Medicilandia
1504505;Melgaço;Melgaco
1504604;Mocajuba;Mocajuba
1504703;Moju;Moju
1504752;Mojuí dos Campos;Mojui dos Campos
1504802;Monte Alegre;Monte Alegre
1504901;Muaná;Muana
1504950;Nova Esperança do Piriá;Nova Esperanca do Piria
1504976;Nova Ipixuna;Nova Ipixuna
1505007;Nova Timboteua;Nova Timboteua
1505031;Novo Progresso;Novo Progresso
1505064;Novo Repartimento;Novo Repartimento
1505106;Óbidos;Obidos
1505205;Oeiras do Pará;Oeiras do Para
1505304;Oriximiná;Oriximina
1505403;Ourém;Ourem
1505437;Ourilândia do Norte;Ourilandia do Norte
1505486;Pacajá;Pacaja
1505494;Palestina do Pará;Palestina do Para
1505502;Paragominas;Paragominas
1505536;Parauapebas;Parauapebas
1505551;Pau D'Arco;Pau D'Arco
1505601;Peixe-Boi;Peixe-Boi
1505635;Piçarra;Picarra
1505650;Placas;Placas
1505700;Ponta de Pedras;Ponta de Pedras
1505809;Portel;Portel
1505908;Porto de Moz;Porto de Moz
1506005;Prainha;Prainha
1506104;Primavera;Primavera
1506112;Quatipuru;Quatipuru
1506138;Redenção;Redencao
1506161;Rio Maria;Rio Maria
1506187;Rondon do Pará;Rondon do Para
1506195;Rurópolis;Ruropolis
1506203;Salinópolis;Salinopolis
1506302;Salvaterra;Salvaterra
1506351;Santa Bárbara do Pará;Santa Barbara do Para
1506401;Santa Cruz do Arari;Santa Cruz do Arari
1506500;Santa Izabel do Pará;Santa Izabel do Para
1506559;Santa Luzia do Pará;Santa Luzia do Para
1506583;Santa Maria das Barreiras;Santa Maria das Barreiras
1506609;Santa Maria do Pará;Santa Maria do Para
1506708;Santana do Araguaia;Santana do Araguaia
1506807;Santarém;Santarem
1506906;Santarém Novo;Santarem Novo
1507003;Santo Antônio do Tauá;Santo Antonio do Taua
1507102;São Caetano de Odivelas;Sao Caetano de Odivelas
1507151;São Domingos do Araguaia;Sao Domingos do Araguaia
1507201;São Domingos do Capim;Sao Domingos do Capim
1507300;São Félix do Xingu;Sao Felix do Xingu
1507409;São Francisco do Pará;Sao Francisco do Para
1507458;São Geraldo do Araguaia;Sao Geraldo do Araguaia
1507466;São João da Ponta;Sao Joao da Ponta
1507474;São João de Pirabas;Sao Joao de Pirabas
1507508;São João do Araguaia;Sao Joao do Araguaia
1507607;São Miguel do Guamá;Sao Miguel do Guama
1507706;São Sebastião da Boa Vista;Sao Sebastiao da Boa Vista
1507755;Sapucaia;Sapucaia
1507805;Senador José Porfírio;Senador Jose Porfirio
1507904;Soure;Soure
1507953;Tailândia;Tailandia
1507961;Terra Alta;Terra Alta
1507979;Terra Santa;Terra Santa
1508001;Tomé-Açu;Tome-Acu
1508035;Tracuateua;Tracuateua
1508050;Trairão;Trairao
1508084;Tucumã;Tucuma
